FILTER REPORT
=============

Input file: final-test.json
Filter: status = 200
Total results: 4664
Filtered results: 3579

RESULTS:
--------
1. https://www.ozyegin.edu.tr/tr | status=200 | method=static | types=
90. https://www.ozyegin.edu.tr/tr/isletme-enstitusu | status=200 | method=static | types=
91. https://www.ozyegin.edu.tr/tr/sektorel-cozumler-dersleri | status=200 | method=static | types=
92. https://www.ozyegin.edu.tr/tr/arastirma/ozyegin-de-arastirma | status=200 | method=static | types=
93. https://www.ozyegin.edu.tr/tr/arastirma | status=200 | method=static | types=
94. https://www.ozyegin.edu.tr/tr/arastirma/arastirma-politikasi | status=200 | method=static | types=
95. https://www.ozyegin.edu.tr/tr/arastirma/ozu-kurumsal-arsiv | status=200 | method=static | types=
96. https://www.ozyegin.edu.tr/tr/disiplinlerarasi-arastirma | status=200 | method=static | types=
97. https://eresearch.ozyegin.edu.tr/search?f_indexed=SCOPUS%2Cequals&query=&spc_page=1 | status=200 | method=static | types=
98. https://www.ozyegin.edu.tr/tr/arastirma/ozyegin-de-arastirma/ozu-destek-programlari | status=200 | method=static | types=
99. https://www.ozyegin.edu.tr/tr/arastirma/insan-arastirmalari-etik-kurulu | status=200 | method=static | types=
100. https://www.ozyegin.edu.tr/tr/arastirma/surdurulebilirlik-platformu | status=200 | method=static | types=
101. https://www.ozyegin.edu.tr/tr/arastirma/teknoloji-transfer-ofisi | status=200 | method=static | types=
102. https://www.ozyegin.edu.tr/tr/arastirma/arastirma-merkezleri | status=200 | method=static | types=
103. https://www.ozyegin.edu.tr/tr/girisimcilik-merkezi | status=200 | method=static | types=
104. https://www.ozyegin.edu.tr/tr/uluslararasi-degisim-ve-isbirligi-programlari | status=200 | method=static | types=
105. https://www.ozyegin.edu.tr/tr/uluslararasi/uluslararasi-degisim-ve-isbirligi-programlari/degisim-programlari | status=200 | method=static | types=
106. https://www.ozyegin.edu.tr/tr/degisim-programlari-ve-isbirlikleri/ortak-kurumlar | status=200 | method=static | types=
107. https://www.ozyegin.edu.tr/tr/degisim-programlari-ve-isbirlikleri/ozu-program-koordinatorleri | status=200 | method=static | types=
108. https://www.ozyegin.edu.tr/tr/degisim-programlari-ve-isbirlikleri/iletisim | status=200 | method=static | types=
109. https://www.ozyegin.edu.tr/tr/ogrenci-dekanligi | status=200 | method=static | types=
110. https://www.ozyegin.edu.tr/tr/ozude-yasam | status=200 | method=static | types=
111. https://www.ozyegin.edu.tr/tr/spor-merkezi | status=200 | method=static | types=
112. https://www.ozyegin.edu.tr/tr/profesyonel-gelisim | status=200 | method=static | types=
113. https://hse.ozyegin.edu.tr/tr/saglik/saglik-merkezi-hizmetleri | status=200 | method=static | types=
114. https://library.ozyegin.edu.tr/ | status=200 | method=static | types=
115. https://hse.ozyegin.edu.tr/tr/sistematik-hse/guvenli-yasam-ve-cevre-kulturu | status=200 | method=static | types=
116. https://hse.ozyegin.edu.tr/tr/acil-durum-yonetimi | status=200 | method=static | types=
117. https://hse.ozyegin.edu.tr/tr | status=200 | method=static | types=
118. https://www.ozyegin.edu.tr/tr/yurtlar | status=200 | method=static | types=
119. https://apply.ozyegin.edu.tr/s?language=en_US | status=200 | method=static | types=
120. https://www.ozyegin.edu.tr/tr/yurtlar/yurt-ucretleri | status=200 | method=static | types=
121. https://www.ozyegin.edu.tr/tr/yurtlar/basvuru-ve-kayit | status=200 | method=static | types=
122. https://www.ozyegin.edu.tr/tr/yurtlar/odeme-yontemleri-ve-iade-kosullari | status=200 | method=static | types=
123. https://www.ozyegin.edu.tr/tr/yurtlar/sikca-sorulan-sorular | status=200 | method=static | types=
124. https://www.ozyegin.edu.tr/en/business-administration | status=200 | method=static | types=
125. https://www.ozyegin.edu.tr/tr/iletisim/servis-saatleri | status=200 | method=static | types=
126. https://sis.ozyegin.edu.tr/ | status=200 | method=static | types=
127. https://www.ozyegin.edu.tr/ | status=200 | method=static | types=
128. https://wifi.ozyegin.edu.tr/tr | status=200 | method=static | types=
129. https://lms.ozyegin.edu.tr/ | status=200 | method=static | types=
130. https://www.ozyegin.edu.tr/tr/hukuk-musavirligi | status=200 | method=static | types=
131. https://www.ozyegin.edu.tr/tr/idari-isler | status=200 | method=static | types=
132. https://studentservices.ozyegin.edu.tr/tr/ogrenci-hizmetleri/ucretler-ve-odemeler/2025-2026-akademik-yili-ucretleri | status=200 | method=static | types=
133. https://www.ozyegin.edu.tr/tr/yok-iliskileri-koordinatorlugu | status=200 | method=static | types=
134. https://www.ozyegin.edu.tr/tr/isletme/hakkinda | status=200 | method=static | types=
135. https://www.ozyegin.edu.tr/tr/akademik-kalite-guvencesi | status=200 | method=static | types=
136. http://my.ozyegin.edu.tr/tr | status=200 | method=static | types=
137. https://www.ozyegin.edu.tr/tr/isletme/bolum-baskaninin-mesaji | status=200 | method=static | types=
138. https://www.ozyegin.edu.tr/tr/isletme/temel-yetkinlikler | status=200 | method=static | types=
139. https://www.ozyegin.edu.tr/tr/isletme/etkinlikler | status=200 | method=static | types=
140. https://www.ozyegin.edu.tr/tr/isletme/akademik-kadro | status=200 | method=static | types=
141. https://www.ozyegin.edu.tr/tr/basin/basinda-ozu | status=200 | method=static | types=
142. https://www.ozyegin.edu.tr/tr/basin/basin-bultenleri/2024-2025-basin-bultenleri | status=200 | method=static | types=
143. https://www.ozyegin.edu.tr/tr/fen-bilimleri-enstitusu | status=200 | method=static | types=
144. https://www.ozyegin.edu.tr/tr/basin/basin-kiti/kurumsal-kimlik-ve-logo | status=200 | method=static | types=
145. https://library.ozyegin.edu.tr/tr | status=200 | method=static | types=
146. https://www.ozyegin.edu.tr/tr/insan-kaynaklari/olanaklari | status=200 | method=static | types=
147. https://www.ozyegin.edu.tr/tr/tyyc-katalogu | status=200 | method=static | types=
148. https://www.ozyegin.edu.tr/tr/basin/gazete-ozu | status=200 | method=static | types=
149. https://www.ozyegin.edu.tr/tr/iletisim/bilgi-edinme | status=200 | method=static | types=
150. https://www.ozyegin.edu.tr/tr/akademik-takvim | status=200 | method=static | types=
151. https://www.ozyegin.edu.tr/tr/gizlilik-politikasi | status=200 | method=static | types=
152. https://www.ozyegin.edu.tr/tr/ekonomi | status=200 | method=static | types=
153. https://www.ozyegin.edu.tr/tr/ekonomi/hakkinda | status=200 | method=static | types=
154. https://www.ozyegin.edu.tr/en/economics | status=200 | method=static | types=
155. https://www.ozyegin.edu.tr/tr/ekonomi/econ-arastirma-seminerleri | status=200 | method=static | types=
156. https://www.ozyegin.edu.tr/tr/ekonomi/bolum-baskaninin-mesaji | status=200 | method=static | types=
157. https://www.ozyegin.edu.tr/tr/node/28 | status=200 | method=static | types=
158. https://www.ozyegin.edu.tr/tr/ekonomi/akademik-kadro | status=200 | method=static | types=
159. https://www.ozyegin.edu.tr/tr/ekonomi/temel-yetkinlikler | status=200 | method=static | types=
160. https://www.ozyegin.edu.tr/tr/ekonomi/ekonomi-arastirma | status=200 | method=static | types=
161. https://www.ozyegin.edu.tr/tr/ekonomi/etkinlikler | status=200 | method=static | types=
162. https://www.ozyegin.edu.tr/tr/ekonomi/econ-arastirma-seminerleri/guz-2024 | status=200 | method=static | types=
163. https://www.ozyegin.edu.tr/tr/ekonomi/econ-arastirma-seminerleri/bahar-2024 | status=200 | method=static | types=
164. https://www.ozyegin.edu.tr/tr/ekonomi/econ-arastirma-seminerleri/econ-arastirma-seminerleri-bahar-2023 | status=200 | method=static | types=
165. https://www.ozyegin.edu.tr/tr/ekonomi/econ-arastirma-seminerleri/guz-2023 | status=200 | method=static | types=
166. https://www.ozyegin.edu.tr/tr/uluslararasi-finans/hakkinda | status=200 | method=static | types=
167. https://www.ozyegin.edu.tr/tr/uluslararasi-finans | status=200 | method=static | types=
168. https://www.ozyegin.edu.tr/en/international-finance | status=200 | method=static | types=
169. https://www.ozyegin.edu.tr/tr/node/31 | status=200 | method=static | types=
